tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,SeniorCitizen,Dependents,NumServices,Churn
7,76.77,493.38,One year,Fiber optic,Mailed check,Yes,0,No,2,0
70,43.22,2939.42,Two year,No,Mailed check,No,0,No,1,0
15,38.37,604.97,Month-to-month,DSL,Bank transfer,No,0,No,7,0
32,52.04,1698.76,One year,No,Mailed check,No,0,No,3,0
20,65.66,1340.74,Two year,Fiber optic,Credit card,No,1,No,6,0
15,47.61,648.27,One year,No,Credit card,No,0,Yes,4,0
48,69.49,3339.84,Two year,DSL,Electronic check,Yes,0,No,6,0
71,34.54,2482.0,Month-to-month,No,Mailed check,No,0,No,7,0
21,115.77,2478.8,Month-to-month,DSL,Mailed check,No,0,No,2,0
42,28.79,1240.7,Two year,Fiber optic,Bank transfer,No,0,No,5,0
26,111.19,2939.31,Month-to-month,Fiber optic,Mailed check,Yes,0,No,7,1
14,109.36,1584.38,One year,Fiber optic,Electronic check,Yes,0,No,4,0
57,70.54,4025.8,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,1,1
37,90.49,3373.09,One year,DSL,Electronic check,No,0,Yes,1,0
58,61.6,3623.06,Two year,Fiber optic,Credit card,Yes,0,Yes,3,0
21,81.0,1720.58,Month-to-month,DSL,Electronic check,Yes,0,No,7,0
69,52.06,3651.92,Month-to-month,Fiber optic,Electronic check,Yes,0,No,2,0
3,48.12,188.07,Month-to-month,Fiber optic,Bank transfer,Yes,1,Yes,5,1
37,75.82,2773.83,Two year,DSL,Electronic check,No,0,No,7,0
49,67.81,3257.54,One year,Fiber optic,Electronic check,No,0,No,7,0
19,75.95,1444.08,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,5,1
12,46.67,500.94,Month-to-month,DSL,Bank transfer,No internet service,0,Yes,2,0
61,54.7,3340.6,Two year,No,Electronic check,No,0,Yes,3,0
41,26.39,1081.61,Two year,Fiber optic,Mailed check,No internet service,0,Yes,1,0
33,23.23,831.56,Month-to-month,DSL,Mailed check,No,0,No,5,0
50,43.35,2192.54,Month-to-month,DSL,Mailed check,No,1,Yes,2,1
68,25.42,1777.78,One year,Fiber optic,Bank transfer,Yes,0,Yes,3,0
71,28.38,1990.32,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes,1,1
33,99.29,3353.15,Two year,DSL,Mailed check,Yes,0,No,2,0
24,21.89,569.98,Month-to-month,DSL,Credit card,Yes,0,No,3,0
61,83.89,5138.92,One year,Fiber optic,Credit card,No,0,No,4,0
61,45.26,2670.27,Month-to-month,Fiber optic,Credit card,Yes,0,No,7,0
28,105.15,3003.26,Two year,DSL,Mailed check,Yes,0,No,7,0
58,66.5,3945.62,Month-to-month,Fiber optic,Mailed check,No internet service,0,No,7,0
43,48.56,2088.54,Month-to-month,No,Mailed check,No,1,Yes,7,1
41,69.76,2861.91,Month-to-month,No,Credit card,No,0,No,2,0
39,56.2,2165.8,Two year,No,Credit card,Yes,0,No,5,0
49,74.43,3565.49,Month-to-month,No,Electronic check,No internet service,0,No,2,0
17,29.45,472.6,Month-to-month,DSL,Electronic check,Yes,0,Yes,1,0
70,117.7,8321.9,Month-to-month,DSL,Mailed check,No,0,Yes,2,0
70,60.56,4292.84,Month-to-month,Fiber optic,Electronic check,No,0,No,7,1
65,52.82,3394.86,Month-to-month,Fiber optic,Credit card,No,0,No,6,1
5,89.02,416.19,Month-to-month,No,Electronic check,No internet service,0,No,1,1
2,54.39,215.53,One year,DSL,Electronic check,Yes,1,No,3,0
22,101.33,2178.2,One year,Fiber optic,Credit card,No internet service,0,Yes,4,0
57,63.43,3579.57,Two year,Fiber optic,Electronic check,No,1,Yes,1,1
66,89.96,5915.61,Two year,Fiber optic,Electronic check,No,0,No,7,0
16,28.75,392.02,Month-to-month,Fiber optic,Mailed check,No internet service,0,No,3,1
51,102.61,5206.33,One year,DSL,Bank transfer,No,0,No,3,0
39,91.57,3545.18,Month-to-month,No,Electronic check,No internet service,1,Yes,4,0
40,39.17,1521.75,Month-to-month,Fiber optic,Mailed check,Yes,1,Yes,5,1
38,32.53,1302.49,Month-to-month,Fiber optic,Electronic check,No internet service,1,Yes,5,1
60,49.63,2919.41,Month-to-month,DSL,Bank transfer,No,0,No,2,0
59,115.61,6813.72,Month-to-month,Fiber optic,Mailed check,No internet service,1,Yes,5,1
10,43.68,392.98,Month-to-month,DSL,Credit card,No internet service,0,Yes,2,0
64,63.61,4060.72,One year,DSL,Mailed check,Yes,0,Yes,1,0
63,21.0,1276.95,Month-to-month,DSL,Mailed check,No,0,Yes,7,0
49,57.72,2832.21,One year,DSL,Bank transfer,No internet service,0,No,6,0
64,75.13,4824.52,Month-to-month,Fiber optic,Electronic check,No,0,No,6,1
32,113.31,3696.11,Month-to-month,Fiber optic,Electronic check,No,1,No,6,1
7,69.67,458.29,Month-to-month,No,Credit card,Yes,0,Yes,6,0
21,99.91,2179.02,Month-to-month,DSL,Electronic check,No,0,No,1,1
20,72.71,1413.91,Month-to-month,DSL,Bank transfer,No,0,No,2,1
26,22.08,562.14,One year,No,Electronic check,No,0,Yes,7,0
68,49.5,3454.29,One year,DSL,Credit card,No,0,No,4,0
15,75.55,1278.47,Month-to-month,DSL,Credit card,Yes,0,No,4,0
14,113.06,1667.13,Month-to-month,DSL,Mailed check,No,0,Yes,5,1
27,103.91,2794.47,Two year,No,Mailed check,No internet service,0,Yes,7,0
40,40.84,1659.17,Month-to-month,No,Mailed check,No,0,Yes,1,0
58,40.01,2354.77,Month-to-month,DSL,Credit card,No internet service,0,No,1,0
28,38.12,1084.56,Month-to-month,Fiber optic,Electronic check,No,0,No,6,1
26,110.25,2816.1,One year,Fiber optic,Bank transfer,No internet service,1,No,4,0
63,103.27,6517.53,One year,No,Bank transfer,No,0,No,7,0
66,95.49,6276.94,One year,DSL,Mailed check,No internet service,1,No,3,0
25,57.27,1383.42,Month-to-month,No,Electronic check,No internet service,0,No,4,0
3,68.44,189.75,Month-to-month,DSL,Electronic check,No,0,No,4,1
44,64.43,2850.83,Month-to-month,Fiber optic,Credit card,No internet service,1,Yes,3,1
42,43.34,1870.34,One year,DSL,Electronic check,No,0,Yes,5,0
6,68.5,398.32,Two year,Fiber optic,Mailed check,Yes,0,No,2,0
39,21.05,817.01,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes,5,1
52,31.18,1661.61,Month-to-month,Fiber optic,Electronic check,No,0,No,6,1
23,106.66,2456.7,Month-to-month,Fiber optic,Mailed check,No,0,No,3,1
50,93.17,4677.48,Month-to-month,Fiber optic,Credit card,No,1,No,7,1
43,60.29,2596.23,Month-to-month,Fiber optic,Bank transfer,No,0,Yes,7,1
19,69.72,1334.72,Month-to-month,DSL,Bank transfer,Yes,0,Yes,3,0
69,55.0,3741.04,Two year,Fiber optic,Bank transfer,No,0,Yes,5,0
51,92.08,4702.09,Month-to-month,DSL,Bank transfer,Yes,0,Yes,6,0
11,96.42,1132.0,Month-to-month,Fiber optic,Mailed check,No,0,No,7,1
12,94.33,1140.39,Month-to-month,Fiber optic,Credit card,No internet service,0,No,6,1
8,90.26,680.4,Month-to-month,Fiber optic,Mailed check,No internet service,0,Yes,2,1
24,38.45,996.64,Month-to-month,Fiber optic,Mailed check,No,0,Yes,5,1
41,51.8,2159.75,One year,DSL,Mailed check,No,1,No,1,0
36,64.98,2377.82,Month-to-month,Fiber optic,Electronic check,No,0,Yes,1,1
55,51.08,2846.39,Two year,Fiber optic,Electronic check,Yes,0,Yes,1,0
9,93.49,785.13,Month-to-month,No,Electronic check,No internet service,0,No,2,1
47,50.94,2426.35,Month-to-month,DSL,Bank transfer,No,0,Yes,7,0
15,31.82,546.58,Month-to-month,Fiber optic,Electronic check,No,0,No,7,1
48,57.9,2755.38,One year,Fiber optic,Mailed check,No,0,No,2,0
42,115.99,4775.21,Month-to-month,No,Credit card,Yes,1,No,3,0
60,40.59,2453.57,Month-to-month,Fiber optic,Mailed check,Yes,0,Yes,4,0
70,79.22,5546.75,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes,2,1
12,61.3,658.19,Two year,Fiber optic,Credit card,No,0,Yes,6,0
2,25.1,80.47,Month-to-month,DSL,Electronic check,Yes,0,Yes,4,1
7,66.79,494.03,Month-to-month,Fiber optic,Mailed check,No internet service,0,No,7,1
3,88.22,191.34,Month-to-month,No,Mailed check,No,0,Yes,1,1
3,69.32,302.43,Month-to-month,DSL,Electronic check,No internet service,1,No,1,1
27,105.21,2878.24,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,4,1
40,46.89,1781.24,Month-to-month,No,Electronic check,No,0,No,7,1
33,26.62,919.57,One year,DSL,Electronic check,Yes,0,No,5,0
1,111.66,151.15,Month-to-month,Fiber optic,Electronic check,No,1,Yes,3,1
8,55.82,517.31,One year,No,Credit card,Yes,0,No,3,0
32,75.64,2389.3,One year,No,Mailed check,Yes,0,Yes,7,0
48,97.2,4707.28,Month-to-month,Fiber optic,Credit card,No,0,No,5,1
4,50.43,189.89,One year,DSL,Mailed check,No,0,No,6,0
70,89.62,6245.33,One year,DSL,Bank transfer,Yes,0,No,4,0
19,31.54,556.05,One year,Fiber optic,Electronic check,No,1,No,4,0
32,47.13,1412.98,One year,DSL,Electronic check,Yes,0,Yes,2,0
9,32.47,319.26,One year,DSL,Mailed check,No,0,No,1,0
12,99.12,1175.82,Month-to-month,Fiber optic,Credit card,No internet service,0,No,1,1
11,40.26,306.41,One year,Fiber optic,Electronic check,No,0,Yes,4,0
46,89.74,4131.82,Month-to-month,No,Mailed check,No internet service,0,No,2,0
16,112.33,1855.17,One year,DSL,Electronic check,No,0,No,6,0
1,70.78,5.43,Month-to-month,DSL,Mailed check,Yes,1,No,6,1
63,72.0,4500.55,Two year,No,Bank transfer,No,0,No,2,0
21,64.1,1368.22,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,3,0
30,50.59,1389.73,One year,No,Electronic check,No,0,Yes,3,0
13,65.57,825.67,One year,No,Electronic check,No,0,Yes,4,0
34,78.28,2678.88,Two year,No,Mailed check,No internet service,0,No,6,0
4,116.6,438.34,One year,Fiber optic,Credit card,No,0,No,3,0
28,111.78,3064.84,Month-to-month,DSL,Mailed check,No internet service,0,No,2,0
59,104.22,6086.2,Two year,Fiber optic,Mailed check,No,0,No,5,0
27,106.91,2806.05,One year,Fiber optic,Mailed check,Yes,0,No,7,0
69,64.78,4438.51,One year,DSL,Electronic check,No,0,No,7,0
25,83.74,2146.44,Two year,Fiber optic,Bank transfer,No internet service,0,Yes,1,0
3,107.51,440.61,Month-to-month,DSL,Electronic check,No,1,Yes,4,1
68,57.3,3897.87,Month-to-month,Fiber optic,Bank transfer,No,0,No,6,1
25,114.18,2892.82,Month-to-month,DSL,Mailed check,No,1,No,3,0
20,59.58,1144.53,One year,Fiber optic,Bank transfer,No,0,No,7,0
34,78.11,2551.1,Month-to-month,No,Electronic check,Yes,0,No,3,0
26,88.98,2406.07,One year,DSL,Credit card,Yes,1,No,2,0
5,113.06,535.54,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes,3,1
61,42.46,2626.09,One year,DSL,Bank transfer,No,1,Yes,1,0
9,92.61,841.44,Two year,No,Credit card,No internet service,0,No,4,0
50,70.08,3553.81,Month-to-month,No,Mailed check,No internet service,0,No,3,0
6,44.86,316.84,One year,No,Electronic check,Yes,0,No,5,0
60,95.66,5753.53,One year,No,Credit card,No,0,No,5,0
44,73.22,3241.17,Month-to-month,Fiber optic,Electronic check,No,1,No,6,1
11,84.1,985.7,Month-to-month,DSL,Credit card,No,0,No,6,1
66,50.29,3298.66,Month-to-month,DSL,Electronic check,No,0,No,7,1
47,66.13,3185.77,One year,Fiber optic,Mailed check,Yes,0,No,4,0
3,79.74,203.81,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,5,1
30,58.49,1758.56,Month-to-month,Fiber optic,Electronic check,No internet service,0,Yes,5,1
21,37.84,826.04,Month-to-month,DSL,Electronic check,Yes,0,Yes,6,0
28,114.16,3115.14,Month-to-month,DSL,Electronic check,No,0,No,7,0
62,69.15,4356.19,One year,Fiber optic,Credit card,Yes,0,No,3,0
33,91.39,3039.73,One year,DSL,Bank transfer,Yes,1,Yes,5,0
35,59.1,2233.71,Month-to-month,Fiber optic,Electronic check,No internet service,0,No,7,0
52,53.51,2886.72,One year,Fiber optic,Electronic check,No,0,No,3,0
34,58.72,1995.81,One year,Fiber optic,Bank transfer,No,0,No,1,0
41,58.92,2504.99,Month-to-month,DSL,Mailed check,No,0,No,2,0
51,72.42,3735.69,Month-to-month,No,Credit card,No internet service,0,Yes,7,0
47,72.35,3411.86,Two year,DSL,Mailed check,No internet service,0,No,6,0
58,67.72,3844.52,One year,DSL,Bank transfer,Yes,0,Yes,3,0
57,31.48,1723.1,One year,Fiber optic,Bank transfer,No internet service,0,Yes,2,0
23,67.61,1555.19,Month-to-month,DSL,Bank transfer,No internet service,0,No,3,0
48,34.91,1650.93,Two year,DSL,Electronic check,No,0,No,7,0
22,30.61,684.76,One year,DSL,Mailed check,No,0,No,3,0
17,111.26,1960.12,Two year,Fiber optic,Electronic check,Yes,1,No,7,0
69,78.5,5459.4,Two year,No,Bank transfer,Yes,0,Yes,4,0
11,83.95,888.62,Two year,Fiber optic,Mailed check,No,0,No,3,0
15,58.18,918.94,Two year,Fiber optic,Bank transfer,No internet service,0,No,5,0
35,108.9,3765.73,Month-to-month,DSL,Electronic check,No internet service,0,No,7,0
33,81.79,2642.06,Two year,DSL,Mailed check,No,1,No,5,0
16,94.92,1537.75,Month-to-month,DSL,Electronic check,No,0,No,3,1
34,54.86,1824.39,Two year,No,Bank transfer,No,0,Yes,6,0
66,114.0,7491.99,Month-to-month,DSL,Credit card,No,1,Yes,6,0
40,100.05,4051.54,One year,No,Bank transfer,Yes,0,No,6,0
28,103.39,2927.94,Month-to-month,DSL,Credit card,No,0,No,1,0
47,35.22,1636.72,One year,Fiber optic,Credit card,Yes,0,Yes,5,0
39,45.1,1677.5,Month-to-month,No,Bank transfer,Yes,0,Yes,2,0
70,46.56,3222.63,Month-to-month,Fiber optic,Electronic check,Yes,0,No,1,1
20,45.09,998.92,Two year,Fiber optic,Electronic check,No,0,No,2,0
1,103.54,151.87,One year,Fiber optic,Mailed check,Yes,0,No,7,0
63,21.19,1406.05,Month-to-month,DSL,Credit card,No,0,No,3,0
67,25.61,1728.67,Month-to-month,DSL,Mailed check,No internet service,0,Yes,3,0
4,45.39,164.01,Month-to-month,No,Electronic check,No internet service,0,No,3,1
58,37.99,2248.52,One year,DSL,Credit card,No,0,No,5,0
25,41.19,1093.74,Two year,DSL,Mailed check,Yes,0,No,6,0
47,97.79,4572.35,One year,No,Bank transfer,No,0,Yes,1,0
38,74.31,2788.22,Month-to-month,DSL,Bank transfer,No,0,No,2,0
15,18.58,202.59,Month-to-month,Fiber optic,Credit card,No,0,Yes,7,1
63,60.93,3801.81,Two year,No,Credit card,No,1,No,4,0
21,58.79,1268.0,Month-to-month,Fiber optic,Credit card,No,0,No,6,1
57,29.39,1645.67,One year,Fiber optic,Bank transfer,No internet service,0,No,1,0
53,85.61,4584.14,Month-to-month,No,Mailed check,No,0,No,2,0
46,88.21,4156.01,One year,DSL,Bank transfer,Yes,0,No,7,0
14,90.09,1262.49,Two year,DSL,Credit card,No,0,No,4,0
17,90.85,1543.59,Month-to-month,Fiber optic,Mailed check,No,0,No,1,1
39,18.01,729.64,One year,Fiber optic,Electronic check,Yes,0,No,1,0
9,113.39,991.81,Month-to-month,DSL,Mailed check,No internet service,0,Yes,6,0
6,99.42,564.16,Month-to-month,Fiber optic,Mailed check,No,0,Yes,3,1
23,108.4,2462.28,Month-to-month,DSL,Electronic check,No,1,Yes,6,1
59,19.56,1097.02,Month-to-month,DSL,Bank transfer,No,0,No,1,0
46,111.39,5168.74,Month-to-month,Fiber optic,Electronic check,No,0,No,6,1
38,98.98,3736.37,Two year,DSL,Electronic check,No internet service,0,No,6,0
14,101.72,1479.68,Month-to-month,Fiber optic,Electronic check,Yes,0,No,7,1
62,27.33,1720.85,Month-to-month,Fiber optic,Bank transfer,No,1,No,6,1
35,91.88,3214.58,Month-to-month,DSL,Electronic check,Yes,0,Yes,7,0
19,113.99,2206.32,Month-to-month,DSL,Mailed check,No internet service,0,No,2,0
30,85.85,2528.47,Month-to-month,DSL,Credit card,No,0,No,3,0
25,75.06,1837.38,Month-to-month,DSL,Credit card,No internet service,1,Yes,1,0
40,112.56,4538.2,One year,Fiber optic,Credit card,No internet service,0,No,7,0
14,62.29,762.33,Two year,Fiber optic,Bank transfer,No,0,No,3,0
26,77.93,2026.89,One year,DSL,Credit card,Yes,0,No,4,0
22,65.63,1473.47,Month-to-month,Fiber optic,Bank transfer,No,0,Yes,2,1
48,111.28,5407.21,Two year,No,Credit card,Yes,1,No,4,0
51,25.61,1381.81,Month-to-month,DSL,Electronic check,No internet service,0,Yes,2,0
3,68.11,197.82,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes,5,1
42,86.7,3679.71,Month-to-month,Fiber optic,Electronic check,No,0,No,4,1
19,97.19,1806.4,Month-to-month,DSL,Credit card,Yes,0,No,7,0
28,76.3,2114.28,Two year,Fiber optic,Bank transfer,Yes,1,No,5,0
45,108.89,4968.51,Month-to-month,No,Mailed check,Yes,0,No,6,0
71,112.2,7964.14,One year,DSL,Mailed check,No,0,No,3,0
63,24.43,1547.19,Month-to-month,No,Credit card,Yes,0,No,4,0
19,58.24,1054.85,One year,Fiber optic,Credit card,No,1,No,1,0
47,20.35,977.39,One year,DSL,Bank transfer,No,0,No,6,0
14,50.94,750.89,Month-to-month,Fiber optic,Bank transfer,No internet service,0,Yes,2,1
38,71.69,2760.25,One year,DSL,Electronic check,No internet service,0,No,1,0
53,109.08,5720.65,One year,Fiber optic,Mailed check,No,0,No,7,0
61,102.66,6311.98,One year,DSL,Credit card,No internet service,0,No,1,0
36,30.75,1057.09,One year,Fiber optic,Bank transfer,No,1,No,6,0
40,27.3,1090.8,One year,Fiber optic,Bank transfer,No,0,No,3,0
30,76.93,2226.9,Month-to-month,Fiber optic,Electronic check,No,0,No,3,1
9,71.21,631.93,One year,DSL,Electronic check,No,0,Yes,1,0
64,44.64,2806.64,Month-to-month,Fiber optic,Electronic check,No,1,Yes,6,1
33,107.95,3539.75,Month-to-month,DSL,Bank transfer,No,0,No,1,0
52,110.74,5761.3,Two year,Fiber optic,Mailed check,No,0,No,1,0
14,58.26,857.02,Month-to-month,DSL,Credit card,No,0,No,2,0
53,107.03,5712.25,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,3,0
59,56.39,3210.43,Month-to-month,DSL,Electronic check,Yes,0,Yes,4,0
41,91.68,3792.86,Month-to-month,Fiber optic,Electronic check,No,0,Yes,3,1
68,65.59,4470.72,Month-to-month,Fiber optic,Credit card,No internet service,1,Yes,1,1
68,30.26,2029.56,Two year,Fiber optic,Mailed check,Yes,0,No,7,0
8,110.79,842.33,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,4,1
2,63.41,123.7,One year,Fiber optic,Mailed check,No internet service,0,Yes,6,0
41,91.45,3760.93,Month-to-month,No,Electronic check,No,0,No,7,0
55,54.72,3028.35,One year,Fiber optic,Electronic check,No,0,No,6,0
16,19.89,308.34,Two year,Fiber optic,Mailed check,No internet service,1,Yes,4,0
62,28.05,1613.08,Month-to-month,No,Mailed check,No,0,Yes,4,0
48,67.62,3221.09,Two year,No,Bank transfer,Yes,0,No,3,0
30,87.0,2550.71,Two year,Fiber optic,Bank transfer,No internet service,0,No,1,0
12,51.47,720.44,One year,DSL,Credit card,Yes,0,Yes,6,0
35,87.55,3067.18,Month-to-month,Fiber optic,Credit card,Yes,1,Yes,6,1
11,87.86,1003.56,One year,Fiber optic,Mailed check,No internet service,1,No,6,0
64,88.39,5688.95,Two year,Fiber optic,Mailed check,Yes,0,No,7,0
50,67.25,3378.13,Month-to-month,Fiber optic,Bank transfer,No,1,No,1,1
21,109.49,2278.45,Month-to-month,Fiber optic,Electronic check,No,0,No,7,1
69,66.92,4590.26,Month-to-month,Fiber optic,Credit card,No,0,No,5,1
48,63.03,2924.24,Month-to-month,Fiber optic,Mailed check,Yes,0,No,2,0
20,37.94,765.87,Two year,DSL,Credit card,No,0,No,3,0
67,48.77,3282.31,Month-to-month,DSL,Credit card,No,0,Yes,6,0
44,22.23,975.88,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,7,0
33,81.35,2691.84,One year,Fiber optic,Electronic check,No,0,Yes,5,0
61,42.85,2553.75,Month-to-month,Fiber optic,Bank transfer,No,0,No,5,1
9,48.42,421.04,Month-to-month,DSL,Bank transfer,No internet service,1,No,6,0
68,95.08,6433.05,Month-to-month,DSL,Bank transfer,No,0,No,5,0
35,50.72,1808.52,Month-to-month,Fiber optic,Electronic check,No,0,Yes,7,1
65,42.22,2746.32,Month-to-month,Fiber optic,Mailed check,No,1,No,3,1
8,34.91,247.26,Month-to-month,DSL,Credit card,No internet service,1,No,2,0
45,95.49,4288.87,Month-to-month,Fiber optic,Credit card,No,0,Yes,4,1
47,30.97,1403.64,Two year,DSL,Electronic check,No,0,Yes,2,0
40,63.38,2518.61,Two year,DSL,Credit card,No,1,Yes,2,0
54,68.69,3738.56,Month-to-month,DSL,Electronic check,No,0,No,6,0
46,86.74,3923.38,One year,Fiber optic,Credit card,Yes,0,Yes,7,0
47,81.33,3819.37,Two year,No,Electronic check,No,0,Yes,6,0
15,99.07,1448.58,Month-to-month,DSL,Credit card,No,0,Yes,1,1
19,22.48,360.45,Two year,DSL,Bank transfer,No,0,No,5,0
26,47.64,1332.01,Two year,Fiber optic,Mailed check,Yes,0,No,5,0
52,46.01,2455.39,Month-to-month,No,Electronic check,No,0,Yes,4,0
22,32.6,687.33,Month-to-month,DSL,Electronic check,No,0,No,1,0
21,46.92,970.79,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,4,1
51,48.98,2396.69,Month-to-month,DSL,Credit card,Yes,0,No,6,0
38,70.19,2587.54,Two year,DSL,Bank transfer,No,1,No,3,0
20,84.37,1631.01,Two year,Fiber optic,Credit card,No,1,No,1,1
29,56.11,1625.51,Month-to-month,No,Bank transfer,No,0,No,5,0
51,89.95,4581.56,One year,Fiber optic,Credit card,No,0,No,4,0
4,51.62,223.05,One year,No,Bank transfer,No,0,No,1,0
55,47.03,2620.49,Month-to-month,Fiber optic,Electronic check,No,0,No,1,1
71,72.12,5134.34,One year,No,Credit card,No,0,No,2,0
28,20.37,516.34,Two year,DSL,Electronic check,Yes,0,No,1,0
4,25.98,120.12,Month-to-month,DSL,Credit card,No,0,No,1,1
22,59.8,1347.3,Month-to-month,Fiber optic,Mailed check,Yes,1,Yes,5,1
45,112.29,5031.74,Month-to-month,Fiber optic,Electronic check,No,0,No,3,1
67,90.15,5947.81,Month-to-month,DSL,Electronic check,No,1,No,4,1
66,26.81,1828.84,Month-to-month,Fiber optic,Bank transfer,No,0,No,3,1
34,102.63,3493.9,Month-to-month,DSL,Electronic check,Yes,0,Yes,1,0
55,91.23,4879.01,Month-to-month,Fiber optic,Credit card,Yes,0,Yes,7,0
1,79.09,182.61,One year,DSL,Electronic check,Yes,0,No,5,0
38,100.03,3777.18,Month-to-month,Fiber optic,Electronic check,No,1,No,5,1
6,58.41,472.42,Month-to-month,DSL,Electronic check,No,0,Yes,5,1
25,40.15,1022.62,Two year,Fiber optic,Electronic check,Yes,0,No,5,0
17,69.2,1166.31,Two year,DSL,Mailed check,No,0,Yes,2,0
61,72.88,4455.11,Month-to-month,No,Mailed check,No,1,Yes,1,0
12,71.83,826.53,Month-to-month,Fiber optic,Electronic check,No,0,Yes,7,1
6,74.51,450.11,Two year,DSL,Electronic check,No,0,Yes,2,0
27,112.87,3148.03,Month-to-month,DSL,Electronic check,No,0,No,7,1
8,108.22,820.87,Month-to-month,DSL,Bank transfer,No internet service,1,Yes,2,0
65,105.57,6888.83,Month-to-month,Fiber optic,Mailed check,Yes,0,No,1,0
57,98.14,5558.09,Month-to-month,Fiber optic,Electronic check,Yes,0,No,5,1
40,112.34,4485.31,Month-to-month,DSL,Electronic check,No,0,No,4,0
14,27.85,488.72,Month-to-month,Fiber optic,Mailed check,No,1,No,5,1
35,44.51,1584.25,One year,No,Electronic check,No internet service,0,No,5,0
48,67.51,3277.55,Two year,DSL,Bank transfer,Yes,0,Yes,2,0
56,102.65,5752.14,Two year,Fiber optic,Credit card,Yes,0,No,3,0
49,68.52,3492.09,Month-to-month,Fiber optic,Electronic check,No,1,No,5,1
13,92.8,1158.96,Month-to-month,Fiber optic,Electronic check,Yes,0,No,1,1
61,31.9,1866.69,One year,DSL,Electronic check,No,0,No,1,0
49,43.24,2203.13,Month-to-month,DSL,Mailed check,No internet service,0,No,1,0
46,91.18,4175.09,Month-to-month,DSL,Electronic check,Yes,0,No,7,0
62,34.47,2157.86,Month-to-month,Fiber optic,Mailed check,No,0,No,2,1
8,53.14,510.9,Month-to-month,Fiber optic,Credit card,No,0,No,4,1
43,44.49,1934.1,Month-to-month,DSL,Electronic check,No,0,Yes,4,1
20,52.99,1171.26,Month-to-month,DSL,Mailed check,Yes,0,No,4,0
39,88.83,3471.27,Two year,DSL,Bank transfer,Yes,0,No,5,0
49,54.78,2649.04,Month-to-month,No,Electronic check,Yes,0,No,5,0
64,73.53,4588.01,Two year,DSL,Electronic check,No internet service,0,No,3,0
62,27.99,1750.61,Two year,Fiber optic,Bank transfer,No,0,Yes,3,0
54,98.5,5207.27,Month-to-month,Fiber optic,Electronic check,No,0,No,3,1
9,54.99,511.13,One year,No,Credit card,Yes,0,No,2,0
37,82.85,3138.55,One year,Fiber optic,Electronic check,Yes,0,No,4,0
49,90.54,4435.56,Month-to-month,DSL,Mailed check,No,1,No,5,0
41,38.97,1607.12,Month-to-month,No,Bank transfer,No,0,No,3,0
17,106.47,1855.73,Month-to-month,Fiber optic,Electronic check,No,0,No,2,1
21,79.62,1705.55,One year,Fiber optic,Electronic check,No,0,No,6,0
51,60.87,3162.52,Month-to-month,DSL,Electronic check,No,0,No,3,1
59,36.23,2136.82,Month-to-month,DSL,Credit card,Yes,0,Yes,5,0
39,112.23,4264.42,Month-to-month,Fiber optic,Bank transfer,No,0,No,3,1
55,93.51,5201.68,Month-to-month,No,Electronic check,Yes,0,No,7,0
41,38.8,1578.96,Month-to-month,Fiber optic,Bank transfer,No,0,No,7,1
39,51.77,1975.14,Month-to-month,No,Bank transfer,No,1,No,2,0
13,98.97,1303.37,Two year,Fiber optic,Credit card,Yes,0,No,6,0
64,87.57,5613.66,One year,DSL,Mailed check,No,0,Yes,6,0
11,94.58,1002.89,One year,Fiber optic,Credit card,No internet service,0,No,2,0
19,62.12,1116.0,One year,Fiber optic,Mailed check,Yes,0,No,3,0
11,89.65,1009.54,One year,Fiber optic,Credit card,No,0,Yes,5,0
46,56.65,2563.38,One year,No,Electronic check,No,0,No,2,0
45,39.13,1766.4,Month-to-month,Fiber optic,Electronic check,Yes,0,Yes,7,0
1,81.27,99.94,Two year,DSL,Credit card,No,1,No,4,0
40,115.6,4672.46,Month-to-month,No,Credit card,No,0,No,2,0
19,49.06,1038.1,Month-to-month,DSL,Electronic check,No,0,Yes,1,1
61,64.1,3921.77,Month-to-month,Fiber optic,Bank transfer,No internet service,1,No,3,1
12,85.4,1003.53,Month-to-month,No,Mailed check,Yes,0,No,4,0
61,72.15,4484.11,One year,DSL,Electronic check,No,0,No,5,0
33,102.34,3429.72,Month-to-month,No,Electronic check,No,0,No,7,0
45,94.17,4246.26,Two year,DSL,Electronic check,Yes,1,Yes,4,0
69,23.83,1656.08,Month-to-month,No,Bank transfer,No internet service,0,No,6,0
8,117.84,944.08,Month-to-month,DSL,Electronic check,No,0,No,6,1
